group,channel,band,mean_signed_relevance,median_signed_relevance,mean_absolute_relevance,median_absolute_relevance
N,Fz,gamma,-0.044926867,-0.01808855,0.24319395,0.22093193
N,Fz,theta,0.100340925,0.09005515,0.24745311,0.24132566
N,O1,alpha,-0.2418171,-0.24413702,0.39304247,0.40483904
N,O1,beta,-0.034453146,-0.045951966,0.26996398,0.2629364
N,O1,delta,0.14016677,0.14301544,0.22711544,0.24176715
N,O1,gamma,-0.35491154,-0.3814329,0.42995042,0.4465296
N,O1,theta,0.028635018,0.033685245,0.2144695,0.21338914
N,O2,alpha,-0.2845636,-0.29134187,0.39486572,0.4012723
N,O2,beta,-0.03696395,-0.04915807,0.3158467,0.3189711
N,O2,delta,0.46155947,0.4816908,0.49447966,0.5150709
N,O2,gamma,-0.06698624,-0.061037026,0.27139425,0.2655319
N,O2,theta,0.19944836,0.1989552,0.28556702,0.28959146
N,P3,alpha,-0.11992176,-0.12403286,0.31843147,0.31974858
N,P3,beta,-0.0700707,-0.07057835,0.2263154,0.23684178
N,P3,delta,0.0072311475,0.004301696,0.18915018,0.20059426
N,P3,gamma,0.11435025,0.11350075,0.24398796,0.25073746
N,P3,theta,-0.066326365,-0.06998788,0.28287375,0.2911881
N,P4,alpha,-0.0055619846,-0.0040448844,0.271597,0.28367263
N,P4,beta,-0.35934103,-0.405399,0.44356433,0.49084026
N,P4,delta,0.009815126,0.010027155,0.21793307,0.224573
N,P4,gamma,0.11691635,0.106023215,0.22774008,0.21850084
N,P4,theta,-0.08959983,-0.0972012,0.2653592,0.25499332
N,Pz,alpha,-0.042494413,-0.04152837,0.27679107,0.28281865
N,Pz,beta,-0.030908743,-0.040768962,0.22884192,0.23009002
N,Pz,delta,-0.18701491,-0.18109538,0.29023063,0.30613264
N,Pz,gamma,0.0005840389,0.014542811,0.20350759,0.19700925
N,Pz,theta,-0.24995261,-0.2548537,0.3195486,0.32688415
